Cambridge Year,Cambridge Building Count,Boston Year,Boston Building Count
1916,1,1866,1
1916,2,1893,2
1916,3,1898,3
1916,4,1899,4
1916,5,1904,5
1916,6,1904,6
1916,7,1905,7
1916,8,1905,8
1917,9,1905,9
1917,10,1916,8
1917,11,1916,7
1917,12,1916,6
1920,13,1916,5
1921,14,1916,4
1924,15,1916,3
1928,16,1916,2
1928,17,1916,1
1928,18,1938,0
1931,19,,
1933,20,,
1937,21,,
1938,22,,
1939,23,,
1939,24,,
1939,25,,
1940,26,,
1941,27,,
1948,28,,
1948,29,,
1949,30,,
1949,31,,
1951,32,,
1951,33,,
1952,34,,
1952,35,,
1952,36,,
1955,37,,
1955,38,,
1956,39,,
1957,40,,
1957,41,,
1958,42,,
1959,43,,
1962,44,,
1962,45,,
1963,46,,
1963,47,,
1963,48,,
1963,49,,
1963,50,,
1963,51,,
1963,52,,
1964,53,,
1964,54,,
1964,55,,
1964,56,,
1964,57,,
1964,58,,
1965,59,,
1965,60,,
1965,61,,
1965,62,,
1965,63,,
1966,64,,
1967,65,,
1967,66,,
1967,67,,
1967,68,,
1967,69,,
1968,70,,
1968,71,,
1968,72,,
1969,73,,
1969,74,,
1969,75,,
1970,76,,
1970,77,,
1971,78,,
1972,79,,
1973,80,,
1973,81,,
1973,82,,
1975,83,,
1975,84,,
1976,85,,
1976,86,,
1978,87,,
1979,88,,
1980,89,,
1980,90,,
1980,91,,
1980,92,,
1981,93,,
1981,94,,
1982,95,,
1982,96,,
1983,97,,
1983,98,,
1984,99,,
1985,100,,
1990,101,,
1992,102,,
1994,103,,
1994,104,,
1999,105,,
2002,106,,
2002,107,,
2002,108,,
2002,109,,
2003,110,,
2004,111,,
2005,112,,
2005,113,,
2006,114,,
2007,115,,
2008,116,,
2011,117,,
2013,118,,
2013,119,,
2013,120,,
2016,121,,
