Year,Undergrads,Grads
1865,27,0
1866,72,0
1867,137,0
1868,167,0
1869,172,0
1870,206,0
1871,224,0
1872,261,0
1873,343,5
1874,274,2
1875,227,21
1876,245,10
1877,193,22
1878,185,9
1879,177,11
1880,188,15
1881,239,14
1882,287,15
1883,354,14
1884,423,20
1885,548,31
1886,590,19
1887,635,2
1888,718,2
1889,826,1
1890,901,8
1891,936,1
1892,1009,2
1893,1057,3
1894,1155,2
1895,1178,5
1896,1183,4
1897,1187,11
1898,1189,9
1899,1164,7
1900,1174,4
1901,1267,10
1902,1399,16
1903,1591,17
1904,1510,18
1905,1529,32
1906,1440,26
1907,1365,32
1908,1390,20
1909,1435,26
1910,1446,33
1911,1470,36
1912,1454,38
1913,1534,35
1914,1582,40
1915,1674,43
1916,1742,67
1917,1819,45
1918,1600,42
1919,1805,14
1920,2987,91
1921,3212,176
1922,3156,208
1923,2801,314
1924,2651,280
1925,2620,286
1926,2436,348
1927,2276,362
1928,2313,374
1929,2411,412
1930,2540,445
1931,2614,539
1932,2531,578
1933,2274,523
1934,2076,500
1935,2009,498
1936,2018,522
1937,2174,619
1938,2305,661
1939,2401,692
1940,2379,721
1941,2379,759
1942,2376,679
1943,2452,596
1944,1222,357
1945,849,349
1946,1160,378
1947,3811,1361
1948,4138,1524
1949,3831,1602
1950,3856,1602
1951,3496,1675
1952,3154,1720
1953,3153,1921
1954,3227,1956
1955,3481,1867
1956,3656,1992
1957,3688,2312
1958,3664,2515
1959,3588,2671
1960,3580,2690
1961,3492,2797
1962,3562,2892
1963,3553,3142
1964,3612,3313
1965,3640,3511
1966,3755,3653
1967,3857,3710
1968,3857,3873
1969,3955,3809
1970,4074,4050
1971,4120,3680
1972,4137,3580
1973,4183,3667
1974,4113,3775
1975,4136,3914
1976,4433,4049
1977,4468,4129
1978,4547,4165
1979,4594,4287
1980,4517,4536
1981,4577,4788
1982,4562,4948
1983,4619,4856
1984,4602,4975
1985,4536,5090
1986,4541,5246
1987,4443,5313
1988,4377,5188
1989,4325,5175
1990,4307,5229
1991,4389,5239
1992,4325,5216
1993,4520,5278
1994,4509,5281
1995,4472,5302
1996,4495,5465
1997,4429,5518
1998,4381,5499
1999,4372,5513
2000,4300,5672
2001,4258,5832
2002,4220,5984
2003,4178,6139
2004,4112,6228
2005,4136,6184
2006,4066,6140
2007,4127,6126
2008,4172,6048
2009,4153,6146
2010,4232,6152
2011,4299,6267
2012,4384,6510
2013,4503,6686
2014,4528,6773
2015,4512,6807
2016,4527,6804
