Year,# Women Undergrad,Total Undergrad,Percentage of Women at MIT
1901,44,1267,3
1902,49,1399,4
1903,63,1591,4
1904,26,1510,2
1905,29,1529,2
1906,26,1440,2
1907,13,1365,1
1908,13,1390,1
1909,18,1435,1
1910,8,1446,1
1911,10,1470,1
1912,,1454,
1913,,1534,
1914,,1582,
1915,,1674,
1916,,1742,
1917,16,1819,1
1918,19,1600,1
1919,44,1805,2
1920,31,2987,1
1921,26,3212,1
1922,32,3156,1
1923,33,2801,1
1924,36,2651,1
1925,32,2620,1
1926,23,2436,1
1927,32,2276,1
1928,44,2313,2
1929,58,2411,2
1930,47,2540,2
1931,39,2614,1
1932,33,2531,1
1933,33,2274,1
1934,25,2076,1
1935,28,2009,1
1936,29,2018,1
1937,39,2174,2
1938,41,2305,2
1939,38,2401,2
1940,33,2379,1
1941,36,2379,2
1942,35,2376,1
1943,39,2452,2
1944,38,1222,3
1945,34,849,4
1946,32,1160,3
1947,40,3811,1
1948,36,4138,1
1949,30,3831,1
1950,42,3856,1
1951,43,3496,1
1952,57,3154,2
1953,58,3153,2
1954,65,3227,2
1955,70,3481,2
1956,67,3656,2
1957,69,3688,2
1958,63,3664,2
1959,62,3588,2
1960,68,3580,2
1961,78,3492,2
1962,84,3562,2
1963,98,3553,3
1964,122,3612,3
1965,143,3640,4
1966,178,3755,5
1967,200,3857,5
1968,203,3857,5
1969,231,3955,6
1970,259,4074,6
1971,314,4120,8
1972,396,4137,10
1973,460,4183,11
1974,523,4113,13
1975,625,4136,15
1976,685,4433,15
1977,737,4468,16
1978,749,4547,16
1979,780,4594,17
1980,805,4517,18
1981,891,4577,19
1982,977,4562,21
1983,1048,4619,23
1984,1089,4602,24
1985,1158,4536,26
1986,1176,4541,26
1987,1295,4443,29
1988,1384,4377,32
1989,1412,4325,33
1990,1460,4307,34
1991,1440,4389,33
1992,1433,4325,33
1993,1506,4520,33
1994,1528,4509,34
1995,1574,4472,35
1996,1705,4495,38
1997,1749,4429,39
1998,1746,4381,40
1999,1776,4372,41
2000,1768,4300,41
2001,1755,4258,41
2002,1765,4220,42
2003,1727,4178,41
2004,1739,4112,42
2005,1765,4136,43
2006,1765,4066,43
2007,1817,4127,44
2008,1857,4172,45
2009,1885,4153,45
2010,1916,4232,45
2011,1948,4299,45
2012,1963,4384,45
2013,2038,4503,45
2014,2041,4528,45
2015,2055,4512,46
2016,2082,4527,46
