Year,Nobel
1944,1
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,1
1952,1
1953,0
1954,0
1955,0
1956,1
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,1
1965,3
1966,1
1967,1
1968,2
1969,3
1970,1
1971,0
1972,1
1973,2
1974,0
1975,1
1976,2
1977,0
1978,0
1979,2
1980,1
1981,0
1982,0
1983,0
1984,0
1985,2
1986,0
1987,3
1988,1
1989,3
1990,4
1991,0
1992,0
1993,1
1994,1
1995,1
1996,1
1997,4
1998,4
1999,1
2000,1
2001,8
2002,1
2003,1
2004,2
2005,2
2006,2
2007,4
2008,1
2009,2
2010,1
2011,1
2012,1
2013,3
2014,1
2015,1
