Year,Student-Faculty Ratio
1865,2.7
1866,7.2
1867,11.4
1868,13.9
1869,13.2
1870,12.9
1871,12.4
1872,12.4
1873,14.9
1874,13.7
1875,11.4
1876,10.7
1877,9.2
1878,9.3
1879,9.8
1880,11.8
1881,15.9
1882,16.9
1883,22.1
1884,28.2
1885,39.1
1886,42.1
1887,52.9
1888,55.2
1889,68.8
1890,90.1
1891,93.6
1892,84.1
1893,66.1
1894,60.8
1895,58.9
1896,62.3
1897,51.6
1898,51.7
1899,50.6
1900,48.9
1901,50.7
1902,26.4
1903,24.9
1904,22.9
1905,25.1
1906,20.9
1907,18.4
1908,17.4
1909,16.3
1910,16.4
1911,16.2
1912,16.2
1913,15.7
1914,15.5
1915,14.2
1916,14.9
1917,14.3
1918,12.4
1919,15.0
1920,24.1
1921,23.1
1922,18.6
1923,16.1
1924,15.1
1925,15.1
1926,13.6
1927,12.3
1928,11.6
1929,11.2
1930,11.5
1931,10.9
1932,10.0
1933,9.4
1934,8.8
1935,8.2
1936,8.2
1937,8.9
1938,8.6
1939,8.8
1940,8.4
1941,8.3
1942,8.1
1943,7.8
1944,3.8
1945,2.7
1946,3.5
1947,10.1
1948,10.4
1949,9.3
1950,8.9
1951,8.0
1952,6.9
1953,6.6
1954,6.4
1955,6.8
1956,6.8
1957,6.3
1958,6.2
1959,5.8
1960,5.7
1961,5.1
1962,4.9
1963,4.6
1964,4.7
1965,4.6
1966,4.6
1967,4.2
1968,4.1
1969,4.1
1970,4.4
1971,4.5
1972,4.7
1973,4.7
1974,4.6
1975,4.6
1976,4.9
1977,5.0
1978,5.0
1979,4.8
1980,4.7
1981,4.6
1982,4.6
1983,4.6
1984,4.6
1985,4.6
1986,4.6
1987,4.5
1988,4.5
1989,4.4
1990,4.5
1991,4.6
1992,4.5
1993,4.7
1994,4.7
1995,4.7
1996,4.7
1997,4.9
1998,4.8
1999,4.7
2000,4.6
2001,4.5
2002,4.4
2003,4.3
2004,4.2
2005,4.2
2006,4.1
2007,4.1
2008,4.1
2009,4.1
2010,4.1
2011,4.2
2012,4.3
2013,4.4
2014,4.4
2015,4.4
2016,4.4
